"participant number","treatment","gender","AB","CD","m_ab","m_cd","d_m","choice","y_AB","y_CD","dist_AB","dist_CD","indic_AB","indic_CD","cre_rcre","scaled_value_diff","m_bar","M","scaled_dist_indiff","cons_AB","cons_CD","treatment_f"
1,1,"m","b","d",15,21,6,"bd",0,0,-3,-9,0,0,0,3.5999999999999996,18,12,-4.800000000000001,1,1,"Large stakes"
2,1,"m","a","d",12,16,4,"ad",1,0,0,-4,0,0,1,2.4,14,12,-1.6,0,1,"Large stakes"
3,1,"m","a","c",12,5,-7,"ac",1,1,0,7,0,1,0,-4.2,8.5,12,2.8000000000000003,0,1,"Large stakes"
4,1,"m","a","c",9,11,2,"ac",1,1,3,1,1,1,0,1.2,10,12,1.6,1,1,"Large stakes"
5,1,"m","a","c",10,10,0,"ac",1,1,2,2,1,1,0,0,10,12,1.6,1,1,"Large stakes"
6,1,"m","a","d",10,20,10,"ad",1,0,2,-8,1,0,1,6,15,12,-2.4000000000000004,1,1,"Large stakes"
7,1,"m","b","d",15,15,0,"bd",0,0,-3,-3,0,0,0,0,15,12,-2.4000000000000004,1,1,"Large stakes"
8,1,"f","a","d",10,15,5,"ad",1,0,2,-3,1,0,1,3,12.5,12,-0.4,1,1,"Large stakes"
9,1,"f","a","c",1,16,15,"ac",1,1,11,-4,1,0,0,9,8.5,12,2.8000000000000003,1,0,"Large stakes"
10,1,"m","b","d",15,15,0,"bd",0,0,-3,-3,0,0,0,0,15,12,-2.4000000000000004,1,1,"Large stakes"
11,1,"m","a","c",8,10,2,"ac",1,1,4,2,1,1,0,1.2,9,12,2.4000000000000004,1,1,"Large stakes"
12,1,"m","a","c",4,1,-3,"ac",1,1,8,11,1,1,0,-1.7999999999999998,2.5,12,7.6000000000000005,1,1,"Large stakes"
13,1,"f","a","d",10,16,6,"ad",1,0,2,-4,1,0,1,3.5999999999999996,13,12,-0.8,1,1,"Large stakes"
14,1,"f","a","d",5,11,6,"ad",1,0,7,1,1,1,1,3.5999999999999996,8,12,3.2,1,0,"Large stakes"
15,1,"m","a","c",11,10,-1,"ac",1,1,1,2,1,1,0,-0.6,10.5,12,1.2000000000000002,1,1,"Large stakes"
16,1,"m","a","c",6,8,2,"ac",1,1,6,4,1,1,0,1.2,7,12,4,1,1,"Large stakes"
17,1,"m","a","c",9,8,-1,"ac",1,1,3,4,1,1,0,-0.6,8.5,12,2.8000000000000003,1,1,"Large stakes"
18,1,"f","b","d",15,15,0,"bd",0,0,-3,-3,0,0,0,0,15,12,-2.4000000000000004,1,1,"Large stakes"
19,1,"m","b","d",15,17,2,"bd",0,0,-3,-5,0,0,0,1.2,16,12,-3.2,1,1,"Large stakes"
20,1,"m","a","d",11,16,5,"ad",1,0,1,-4,1,0,1,3,13.5,12,-1.2000000000000002,1,1,"Large stakes"
21,1,"f","a","d",15,20,5,"ad",1,0,-3,-8,0,0,1,3,17.5,12,-4.4,0,1,"Large stakes"
22,1,"f","a","d",12,15,3,"ad",1,0,0,-3,0,0,1,1.7999999999999998,13.5,12,-1.2000000000000002,0,1,"Large stakes"
23,1,NA,"a","d",8,15,7,"ad",1,0,4,-3,1,0,1,4.2,11.5,12,0.4,1,1,"Large stakes"
24,1,"f","a","d",1,10,9,"ad",1,0,11,2,1,1,1,5.3999999999999995,5.5,12,5.2,1,0,"Large stakes"
